url,isBlog,isWordpress,isBlogSpot,isUrlIncludeDate,isUrlIncludeDomainPostTitle,isUrlIncludeYearMonthPostTitle,urlLen,numOfKeywords,isIncludeBlog,isMetaTagIncludeBlogKeyword,isUrlSuffixHTML,domainLen,pathNumberCount,lenOfPath
https://kotaku.com/pokemon-cards-fake-phony-counterfeit-knock-off-arrest-j-1848586977,1,0,0,0,0,0,85,36238,0,0,0,10,10,1
https://www.sbnation.com/2007/11/26/1639058/cartoon-characters-dogs-take-over,1,0,0,1,0,0,77,24700,0,0,0,16,15,5
https://thetehrantimes.tumblr.com/post/171827402454/arent-you-obsessed-artist-mohmoodreza,1,0,0,0,0,0,89,7132,0,0,0,25,12,3
https://techcrunch.com/2008/02/26/texas-instruments-to-expand-omap-chip-line-beyond-phones/,1,0,0,1,0,0,91,39114,0,0,0,14,8,4
https://www.sbnation.com/2006/06/whoa-youre-not-going-to-believe-this.html,1,0,0,1,0,1,74,23655,0,0,1,16,6,3
https://www.gawker.com/celebrity/ana-de-armas-ben-affleck-deep-water-trailer,1,0,0,0,0,0,76,4302,0,0,0,14,0,2
https://gothamist.com/news/in-prospect-park-a-tree-grows-in-honor-of-christina-yuna-lee,1,0,0,0,0,0,87,22152,0,0,0,13,0,2
https://kotaku.com/elden-ring-lone-wolf-spirit-ashes-how-to-get-church-ell-1848703303,1,0,0,0,0,0,85,36555,0,0,0,10,10,1
https://www.slashfilm.com/495621/video-5-minutes-of-frank-millers-300/,1,0,0,0,0,0,70,5836,0,0,0,17,10,2
https://www.slashfilm.com/495433/rupert-murdochs-blunder-borat-2-announced/,1,0,0,0,0,0,75,5834,0,0,0,17,7,2
https://crooksandliars.com/cltv/2014/09/foxs-tantaros-rice-video-where,1,0,0,1,0,1,70,6947,0,0,0,18,6,4
https://www.sbnation.com/2008/1/23/1639425/this-is-apparently-important,1,0,0,1,0,0,71,22886,0,0,0,16,14,5
https://lifehacker.com/food-drink/entertaining,1,0,0,0,0,0,46,48526,0,0,0,14,0,2
https://www.smashingmagazine.com/2021/11/localizing-your-nextjs-app/,1,0,0,1,0,0,68,17521,0,0,0,24,6,3
https://thetehrantimes.tumblr.com/post/137878284224/best-styles-are-those-with-a-strong-message,1,0,0,0,0,0,95,8683,0,0,0,25,12,3
https://skatter.com/2007/01/wordpress-v21-upgrade/,1,0,0,1,0,0,50,2993,0,0,0,11,8,3
